index,timestamp
1,1528016503638
2,1528016515152
3,1528016525051
4,1528016531215
5,1528016536669
6,1528016544500
7,1528016548275
8,1528016555059
9,1528016565542
10,1528016569096
11,1528016577472
12,1528016584542
13,1528016595644
14,1528016605221
15,1528016610596
16,1528016615339
17,1528016618273
18,1528016623353
19,1528016625963
20,1528016629078
21,1528016633045
22,1528016636496
23,1528016642182
24,1528016645245
25,1528016650052
26,1528016656423
27,1528016665287
28,1528016670690
29,1528016681249
30,1528016685579
31,1528016693152
32,1528016695310
33,1528016697675
34,1528016699110
35,1528016701036
36,1528016706153
37,1528016711569
38,1528016715343
39,1528016725720
40,1528016729611
41,1528016735065
42,1528016758646
43,1528016794562
44,1528016800093
45,1528016805586
46,1528016809360
47,1528016815034
48,1528016821575
49,1528016826254
50,1528016830455
51,1528016832679
52,1528016834748
53,1528016839220
54,1528016841547
55,1528016856344
56,1528016860105
57,1528016862807
58,1528016866311
59,1528016869569
60,1528016872271
61,1528016880027
62,1528016884784
63,1528016887628
64,1528016892410
65,1528016899107
66,1528016904110
67,1528016906954
68,1528016911426
69,1528016914606
70,1528016920553
71,1528016923875
72,1528016929382
73,1528016933260
74,1528016944248
75,1528016948242
76,1528016950323
77,1528016953270
78,1528016958699
79,1528016960896
80,1528016962926
81,1528016964865
82,1528016967089
83,1528016969248
84,1528016972531
85,1528016976034
